Year,name,value,reactor
1995,Reference Unit Power (MWe),767,BRUNSWICK-1
1995,Annual Time Online (Hours),7391,BRUNSWICK-1
1995,Electricity Supplied (GWh),5780.71,BRUNSWICK-1
1996,Reference Unit Power (MWe),767,BRUNSWICK-1
1996,Annual Time Online (Hours),7490,BRUNSWICK-1
1996,Electricity Supplied (GWh),5708.15,BRUNSWICK-1
1997,Reference Unit Power (MWe),767,BRUNSWICK-1
1997,Annual Time Online (Hours),8558,BRUNSWICK-1
1997,Electricity Supplied (GWh),6857.03,BRUNSWICK-1
1998,Reference Unit Power (MWe),820,BRUNSWICK-1
1998,Annual Time Online (Hours),7811,BRUNSWICK-1
1998,Electricity Supplied (GWh),6360.44,BRUNSWICK-1
1999,Reference Unit Power (MWe),820,BRUNSWICK-1
1999,Annual Time Online (Hours),8481,BRUNSWICK-1
1999,Electricity Supplied (GWh),6998.16,BRUNSWICK-1
2000,Reference Unit Power (MWe),820,BRUNSWICK-1
2000,Annual Time Online (Hours),8122,BRUNSWICK-1
2000,Electricity Supplied (GWh),6746.48,BRUNSWICK-1
2001,Reference Unit Power (MWe),820,BRUNSWICK-1
2001,Annual Time Online (Hours),8760,BRUNSWICK-1
2001,Electricity Supplied (GWh),7303.12,BRUNSWICK-1
2002,Reference Unit Power (MWe),820,BRUNSWICK-1
2002,Annual Time Online (Hours),7874,BRUNSWICK-1
2002,Electricity Supplied (GWh),6697.34,BRUNSWICK-1
2003,Reference Unit Power (MWe),872,BRUNSWICK-1
2003,Annual Time Online (Hours),8653,BRUNSWICK-1
2003,Electricity Supplied (GWh),7701.83,BRUNSWICK-1
2004,Reference Unit Power (MWe),872,BRUNSWICK-1
2004,Annual Time Online (Hours),7853,BRUNSWICK-1
2004,Electricity Supplied (GWh),7093.38,BRUNSWICK-1
2005,Reference Unit Power (MWe),872,BRUNSWICK-1
2005,Annual Time Online (Hours),8275,BRUNSWICK-1
2005,Electricity Supplied (GWh),7755.05,BRUNSWICK-1
2006,Reference Unit Power (MWe),938,BRUNSWICK-1
2006,Annual Time Online (Hours),7601,BRUNSWICK-1
2006,Electricity Supplied (GWh),7190.78,BRUNSWICK-1
2007,Reference Unit Power (MWe),938,BRUNSWICK-1
2007,Annual Time Online (Hours),8290,BRUNSWICK-1
2007,Electricity Supplied (GWh),7881.91,BRUNSWICK-1
2008,Reference Unit Power (MWe),938,BRUNSWICK-1
2008,Annual Time Online (Hours),7458,BRUNSWICK-1
2008,Electricity Supplied (GWh),7030.63,BRUNSWICK-1
2009,Reference Unit Power (MWe),938,BRUNSWICK-1
2009,Annual Time Online (Hours),8493,BRUNSWICK-1
2009,Electricity Supplied (GWh),8022.67,BRUNSWICK-1
2010,Reference Unit Power (MWe),938,BRUNSWICK-1
2010,Annual Time Online (Hours),7255,BRUNSWICK-1
2010,Electricity Supplied (GWh),6810.87,BRUNSWICK-1
2011,Reference Unit Power (MWe),938,BRUNSWICK-1
2011,Annual Time Online (Hours),8663,BRUNSWICK-1
2011,Electricity Supplied (GWh),8228.37,BRUNSWICK-1
2012,Reference Unit Power (MWe),938,BRUNSWICK-1
2012,Annual Time Online (Hours),6778,BRUNSWICK-1
2012,Electricity Supplied (GWh),6323.87,BRUNSWICK-1
2013,Reference Unit Power (MWe),938,BRUNSWICK-1
2013,Annual Time Online (Hours),8483,BRUNSWICK-1
2013,Electricity Supplied (GWh),8074.21,BRUNSWICK-1
2014,Reference Unit Power (MWe),938,BRUNSWICK-1
2014,Annual Time Online (Hours),7751,BRUNSWICK-1
2014,Electricity Supplied (GWh),7347.75,BRUNSWICK-1
2015,Reference Unit Power (MWe),938,BRUNSWICK-1
2015,Annual Time Online (Hours),8653,BRUNSWICK-1
2015,Electricity Supplied (GWh),8192.6,BRUNSWICK-1
2016,Reference Unit Power (MWe),938,BRUNSWICK-1
2016,Annual Time Online (Hours),7959,BRUNSWICK-1
2016,Electricity Supplied (GWh),7313.54,BRUNSWICK-1
2017,Reference Unit Power (MWe),938,BRUNSWICK-1
2017,Annual Time Online (Hours),8685,BRUNSWICK-1
2017,Electricity Supplied (GWh),8179.12,BRUNSWICK-1
2018,Reference Unit Power (MWe),938,BRUNSWICK-1
2018,Annual Time Online (Hours),7700,BRUNSWICK-1
2018,Electricity Supplied (GWh),7094.07,BRUNSWICK-1
2019,Reference Unit Power (MWe),938,BRUNSWICK-1
2019,Annual Time Online (Hours),8211,BRUNSWICK-1
2019,Electricity Supplied (GWh),7744.25,BRUNSWICK-1
2020,Reference Unit Power (MWe),938,BRUNSWICK-1
2020,Annual Time Online (Hours),7432,BRUNSWICK-1
2020,Electricity Supplied (GWh),6917.77,BRUNSWICK-1
2021,Reference Unit Power (MWe),938,BRUNSWICK-1
2021,Annual Time Online (Hours),8447,BRUNSWICK-1
2021,Electricity Supplied (GWh),8022.51,BRUNSWICK-1
2022,Reference Unit Power (MWe),938,BRUNSWICK-1
2022,Annual Time Online (Hours),8023,BRUNSWICK-1
2022,Electricity Supplied (GWh),7555.39,BRUNSWICK-1
2023,Reference Unit Power (MWe),938,BRUNSWICK-1
2023,Annual Time Online (Hours),8658,BRUNSWICK-1
2023,Electricity Supplied (GWh),8243.54,BRUNSWICK-1
1985,Reference Unit Power (MWe),1129,BYRON-1
1985,Annual Time Online (Hours),2025,BYRON-1
1985,Electricity Supplied (GWh),1696.12,BYRON-1
1986,Reference Unit Power (MWe),1129,BYRON-1
1986,Annual Time Online (Hours),7760,BYRON-1
1986,Electricity Supplied (GWh),7396,BYRON-1
1987,Reference Unit Power (MWe),1120,BYRON-1
