Country,Year,Type,TWh,Popn,MWhPerCap
Russian Federation,2000,Oil,33.091,146854858.65672004,0.22533132579121354
Russian Federation,2000,Solar,0,146854858.65672004,0
Russian Federation,2000,Wind,0.0019,146854858.65672004,1.293794442607675e-5
Russian Federation,2000,Hydro,164.076,146854858.65672004,1.11726640508051
Russian Federation,2000,Nuclear,130.715,146854858.65672004,0.8900965292919065
Russian Federation,2000,Biomass/Geo,0.0791,146854858.65672004,5.386270547908795e-4
Russian Federation,2000,SolarPlusWind,0.0019,146854858.65672004,1.293794442607675e-5
Russian Federation,2000,SolarPlusWindPlusBio,0.081,146854858.65672004,5.515649992169562e-4
Russian Federation,2001,Gas,376.7438697248532,146847492.52679425,2.565545132860279
Russian Federation,2001,Coal,168.77294163960843,146847492.52679425,1.1493076165996745
Russian Federation,2001,Oil,30.01998961931734,146847492.52679425,0.20442970528652235
Russian Federation,2001,Solar,0,146847492.52679425,0
Russian Federation,2001,Wind,0.0031,146847492.52679425,2.1110336626513146e-5
Russian Federation,2001,Hydro,173.899,146847492.52679425,1.1842149771012933
Russian Federation,2001,Nuclear,136.935,146847492.52679425,0.9324980470811539
Russian Federation,2001,Biomass/Geo,0.11410000000000001,146847492.52679425,7.769965835758547e-4
Russian Federation,2001,SolarPlusWind,0.0031,146847492.52679425,2.1110336626513146e-5
Russian Federation,2001,SolarPlusWindPlusBio,0.11720000000000001,146847492.52679425,7.98106920202368e-4
Russian Federation,2002,Gas,384.77259514050377,146806240.05659458,2.6209553149251144
Russian Federation,2002,Coal,170.35866054260563,146806240.05659458,1.1604320121333498
Russian Federation,2002,Oil,27.415037403017667,146806240.05659458,0.1867429980663562
Russian Federation,2002,Solar,0,146806240.05659458,0
Russian Federation,2002,Wind,0.0062,146806240.05659458,4.223253723826635e-5
Russian Federation,2002,Hydro,162.17399999999998,146806240.05659458,1.1046805635610657
Russian Federation,2002,Nuclear,141.629,146806240.05659458,0.9647341962126492
Russian Federation,2002,Biomass/Geo,0.1733,146806240.05659458,0.0011804675328050901
Russian Federation,2002,SolarPlusWind,0.0062,146806240.05659458,4.223253723826635e-5
Russian Federation,2002,SolarPlusWindPlusBio,0.17950000000000002,146806240.05659458,0.0012227000700433567
Russian Federation,2003,Gas,406.81996570332444,146731101.24612105,2.772554436301411
Russian Federation,2003,Coal,172.23623455167325,146731101.24612105,1.1738222714131403
Russian Federation,2003,Oil,27.119130711739267,146731101.24612105,0.18482196672299686
Russian Federation,2003,Solar,0,146731101.24612105,0
Russian Federation,2003,Wind,0.0086,146731101.24612105,5.861061442982489e-5
Russian Federation,2003,Hydro,155.67000000000002,146731101.24612105,1.0609202730570748
Russian Federation,2003,Nuclear,150.342,146731101.24612105,1.0246089528614808
Russian Federation,2003,Biomass/Geo,0.3658,146731101.24612105,0.002492995669584877
Russian Federation,2003,SolarPlusWind,0.0086,146731101.24612105,5.861061442982489e-5
Russian Federation,2003,SolarPlusWindPlusBio,0.3744,146731101.24612105,0.0025516062840147025
Russian Federation,2004,Gas,422.5592377860584,146622076.0953736,2.8819619053217833
Russian Federation,2004,Coal,160.85453194180548,146622076.0953736,1.0970689832353353
Russian Federation,2004,Oil,23.918919256457716,146622076.0953736,0.1631331372016525
Russian Federation,2004,Solar,0,146622076.0953736,0
Russian Federation,2004,Wind,0.007,146622076.0953736,4.774178750167672e-5
Russian Federation,2004,Hydro,175.677,146622076.0953736,1.1981620004188658
Russian Federation,2004,Nuclear,144.707,146622076.0953736,0.9869386920007333
Russian Federation,2004,Biomass/Geo,0.44980000000000003,146622076.0953736,0.0030677508597505986
Russian Federation,2004,SolarPlusWind,0.007,146622076.0953736,4.774178750167672e-5
Russian Federation,2004,SolarPlusWindPlusBio,0.45680000000000004,146622076.0953736,0.0031154926472522753
Russian Federation,2005,Gas,440.06674010989883,146479164.60435227,3.004295807520077
Russian Federation,2005,Coal,165.73524560659138,146479164.60435227,1.13145952227575
Russian Federation,2005,Oil,21.25445262513165,146479164.60435227,0.14510222448729154
Russian Federation,2005,Solar,0,146479164.60435227,0
Russian Federation,2005,Wind,0.0068000000000000005,146479164.60435227,4.6422984581917505e-5
Russian Federation,2005,Hydro,172.61100000000002,146479164.60435227,1.1783996752454944
Russian Federation,2005,Nuclear,149.446,146479164.60435227,1.0202543167395945
Russian Federation,2005,Biomass/Geo,0.45130000000000003,146479164.60435227,0.003080984256149907
Russian Federation,2005,SolarPlusWind,0.0068000000000000005,146479164.60435227,4.6422984581917505e-5
Russian Federation,2005,SolarPlusWindPlusBio,0.45810000000000006,146479164.60435227,0.0031274072407318242
Russian Federation,2006,Gas,455.2484207791563,146302366.77305704,3.111695530430712
Russian Federation,2006,Coal,177.77253465513502,146302366.77305704,1.215103614358435
Russian Federation,2006,Oil,24.23687220373619,146302366.77305704,0.16566288528559633
Russian Federation,2006,Solar,0,146302366.77305704,0
Russian Federation,2006,Wind,0.0052,146302366.77305704,3.5542828969173104e-5
Russian Federation,2006,Hydro,173.285,146302366.77305704,1.1844305996006077
Russian Federation,2006,Nuclear,156.436,146302366.77305704,1.0692649985810698
Russian Federation,2006,Biomass/Geo,0.5057,146302366.77305704,0.0034565401172520845
Russian Federation,2006,SolarPlusWind,0.0052,146302366.77305704,3.5542828969173104e-5
Russian Federation,2006,SolarPlusWindPlusBio,0.5109,146302366.77305704,0.0034920829462212572
Russian Federation,2007,Gas,489.1374689203707,146091682.60148793,3.348154119455592
Russian Federation,2007,Coal,170.72220522220871,146091682.60148793,1.168596337465073
Russian Federation,2007,Oil,17.31984791730171,146091682.60148793,0.11855464738911364
Russian Federation,2007,Solar,0,146091682.60148793,0
Russian Federation,2007,Wind,0.0066,146091682.60148793,4.517710989751294e-5
Russian Federation,2007,Hydro,177.04500000000002,146091682.60148793,1.2118759730007849
Russian Federation,2007,Nuclear,160.05750000000003,146091682.60148793,1.0955962526395726
Russian Federation,2007,Biomass/Geo,0.4845,146091682.60148793,0.003316410567476518
Russian Federation,2007,SolarPlusWind,0.0066,146091682.60148793,4.517710989751294e-5
Russian Federation,2007,SolarPlusWindPlusBio,0.4911,146091682.60148793,0.003361587677374031
Russian Federation,2008,Gas,494.4408051723094,145847112.08964494,3.3901309260645585
Russian Federation,2008,Coal,196.6395547684868,145847112.08964494,1.348258131073739
Russian Federation,2008,Oil,16.095041855316726,145847112.08964494,0.11035557457883642
Russian Federation,2008,Solar,0,145847112.08964494,0
Russian Federation,2008,Wind,0.0052,145847112.08964494,3.5653774185146836e-5
Russian Federation,2008,Hydro,164.78,145847112.08964494,1.1298132519670185
Russian Federation,2008,Nuclear,163.0839,145847112.08964494,1.1181839507371285
Russian Federation,2008,Biomass/Geo,0.4889,145847112.08964494,0.003352140422907363
Russian Federation,2008,SolarPlusWind,0.0052,145847112.08964494,3.5653774185146836e-5
Russian Federation,2008,SolarPlusWindPlusBio,0.4941,145847112.08964494,0.0033877941970925102
Russian Federation,2009,Gas,469.82939977661067,145568655.2375281,3.227545098977373
Russian Federation,2009,Coal,164.39030530012562,145568655.2375281,1.1292974097472135
Russian Federation,2009,Oil,16.048168818936535,145568655.2375281,0.11024467315955024
Russian Federation,2009,Solar,0,145568655.2375281,0
Russian Federation,2009,Wind,0.0038,145568655.2375281,2.610452087916484e-5
Russian Federation,2009,Hydro,174.199,145568655.2375281,1.19667932437622
Russian Federation,2009,Nuclear,163.5825,145568655.2375281,1.1237481017673636
Russian Federation,2009,Biomass/Geo,0.4974,145568655.2375281,0.003416944390867524
Russian Federation,2009,SolarPlusWind,0.0038,145568655.2375281,2.610452087916484e-5
